ID;res_city_desc;county_desc;street_type_cd;zip_code;phone_area_code;sex_code;age;birth_place(Country);ethnic_code;race_code;party_cd
aa173006;burlington;alamance;st;27217;336;f;31;ri;un;w;dem
by580879;burlington;alamance;st;27215;631;f;30;ny;nl;w;dem
ax51253;burlington;alamance;dr;27215;980;f;37;fl;nl;w;una
aa189662;burlington;alamance;st;27217;336;f;23;nc;nl;b;dem
by453316;burlington;alamance;dr;27215;336;m;43;nc;nl;w;una
de152978;graham;alamance;st;27253;336;m;63;fl;nl;w;rep
by537629;burlington;alamance;ave;27215;336;f;50;nc;un;w;una
de226483;graham;alamance;rd;27253;999;m;38;in;nl;w;una
by329879;graham;alamance;dr;27253;336;m;47;nc;nl;w;una
aa171013;graham;alamance;ave;27253;336;f;53;oh;nl;w;rep
dk40328;mebane;alamance;dr;27302;919;f;74;md;nl;w;dem
bl449060;burlington;alamance;st;27215;908;f;21;nc;un;b;una
aa188532;graham;alamance;st;27253;910;f;22;nc;nl;b;dem
aa86356;haw river;alamance;dr;27258;336;f;45;nc;nl;w;una
aa123511;graham;alamance;dr;27253;336;f;66;vt;nl;w;una
aa124981;burlington;alamance;pl;27215;336;m;67;oh;un;w;una
aa135493;mebane;alamance;dr;27302;919;f;44;nc;un;b;dem
by420743;burlington;alamance;ct;27217;336;f;33;nc;nl;b;dem
bl274841;burlington;alamance;pl;27215;336;f;46;nc;nl;w;rep
dn109613;liberty;alamance;rd;27298;336;m;35;nc;nl;w;una
by319704;burlington;alamance;rd;27217;336;f;57;tx;nl;w;una
aa157458;burlington;alamance;dr;27215;336;f;57;nc;nl;w;rep
aa160375;haw river;alamance;rd;27258;336;m;28;nc;nl;w;una
aa166344;burlington;alamance;st;27215;336;m;27;nc;nl;w;dem
at13978;snow camp;alamance;dr;27349;336;m;72;nc;nl;w;una
by447866;burlington;alamance;rd;27215;336;m;52;sc;nl;w;rep
bl460796;haw river;alamance;rd;27258;919;m;52;nc;nl;w;una
by263961;gibsonville;alamance;dr;27249;336;m;47;nc;nl;w;rep
at24624;burlington;alamance;way;27217;910;m;50;ca;nl;w;rep
db133719;graham;alamance;rd;27253;336;m;36;nc;nl;w;una
al127813;burlington;alamance;dr;27215;336;f;38;nc;nl;w;una
ds36870;gibsonville;alamance;dr;27249;336;f;72;ny;nl;w;rep
bl291467;graham;alamance;dr;27253;252;m;33;nc;nl;b;dem
aa17340;burlington;alamance;rd;27215;336;f;90;nc;nl;w;dem
aa141948;burlington;alamance;ave;27217;336;f;39;nc;nl;b;dem
bl249263;graham;alamance;dr;27253;336;m;46;nc;nl;b;dem
aa157977;graham;alamance;ct;27253;336;m;42;nc;un;b;dem
by571198;burlington;alamance;ave;27217;724;f;30;il;nl;w;dem
aa164279;burlington;alamance;st;27215;336;f;37;nc;nl;b;rep
de256758;haw river;alamance;dr;27258;615;f;45;nc;nl;w;una
bw48742;burlington;alamance;st;27215;919;f;68;va;nl;w;rep
aa172625;graham;alamance;st;27253;336;f;27;nc;nl;m;una
bl348960;burlington;alamance;ct;27215;919;f;51;nc;nl;b;dem
aa154379;liberty;alamance;ln;27298;336;m;29;nc;nl;w;una
by474839;burlington;alamance;dr;27215;336;f;58;nc;nl;w;dem
de228764;mebane;alamance;cir;27302;773;m;46;il;nl;w;una
bg3247;haw river;alamance;st;27258;336;f;74;wy;un;w;dem
de282737;mebane;alamance;ln;27302;336;f;32;nc;nl;w;rep
bh98141;graham;alamance;dr;27253;336;f;62;nc;nl;w;rep
ax35338;burlington;alamance;dr;27215;919;f;58;ny;nl;w;una
by395861;elon;alamance;ct;27244;518;m;40;ga;nl;w;una
cw671282;burlington;alamance;dr;27215;704;f;36;nc;nl;w;rep
cw960128;burlington;alamance;dr;27215;803;f;31;oh;nl;w;una
aa139156;mebane;alamance;dr;27302;919;m;84;nj;nl;w;rep
at4542;gibsonville;alamance;dr;27249;843;f;59;va;un;w;una
cw1039750;graham;alamance;st;27253;704;m;22;nc;nl;w;dem
aa95341;burlington;alamance;st;27215;336;m;75;nc;nl;w;dem
aa97720;snow camp;alamance;rd;27349;336;m;75;dc;nl;w;rep
aa138365;burlington;alamance;dr;27215;336;f;75;nc;nl;w;rep
de226709;gibsonville;alamance;ct;27249;336;f;33;nc;nl;w;dem
de241239;graham;alamance;st;27253;336;f;29;in;nl;w;dem
aa158492;burlington;alamance;ave;27217;336;m;28;nc;nl;b;dem
aa165422;burlington;alamance;dr;27215;850;f;41;ny;nl;w;dem
aa172763;burlington;alamance;dr;27215;440;m;33;oh;nl;w;dem
aa174190;mebane;alamance;dr;27302;843;f;31;oc;nl;w;una
de219043;mebane;alamance;dr;27302;336;m;34;nc;nl;w;una
aa154312;burlington;alamance;ln;27215;336;f;28;tn;nl;m;una
aa184655;burlington;alamance;st;27215;336;m;21;nc;nl;o;una
aa157977;burlington;alamance;dr;27215;336;m;42;nc;nl;m;dem
cw721092;elon;alamance;dr;27244;704;f;30;sc;un;w;una
aa122806;burlington;alamance;dr;27217;336;m;93;ms;nl;b;dem
aa128787;mebane;alamance;dr;27302;919;m;35;nj;nl;w;rep
aa141476;mebane;alamance;dr;27302;252;f;39;ct;un;b;dem
aa145284;mebane;alamance;rd;27302;336;f;64;nc;nl;w;una
